model,outer_fold,precision,recall,f1,roc_auc,best_inner_auc,best_params,demographic_parity_difference,equalized_odds_difference
LogisticRegression,0,0.7314917127071823,0.5905441570026762,0.6535044422507403,0.8989886526160009,0.9042906530365236,"{'clf__C': 1, 'selector__k': 50}",0.2164824923445613,0.38647342995169087
LogisticRegression,1,0.7599557522123894,0.6128456735057984,0.6785185185185185,0.9117919457006098,0.9004197399823383,"{'clf__C': 10, 'selector__k': 50}",0.1839095638179527,0.29253043764396186
LogisticRegression,2,0.7355605889014722,0.5796519410977242,0.6483653606189169,0.8988142617344121,0.9035470077121616,"{'clf__C': 10, 'selector__k': 50}",0.16995800910292175,0.2886178861788618
LogisticRegression,3,0.7195652173913043,0.5908076751450245,0.6488605733888753,0.9006177092120748,0.9022280724383335,"{'clf__C': 10, 'selector__k': 50}",0.24508344949704253,0.2783761391880696
LogisticRegression,4,0.7288790723357261,0.5887600356824264,0.6513693560325685,0.9009830044214838,0.9030638416592783,"{'clf__C': 10, 'selector__k': 50}",0.17154216360931634,0.282051282051282
LogisticRegression,5,0.706951871657754,0.5896520963425513,0.6429961089494164,0.8968769091350396,0.9039725342981138,"{'clf__C': 1, 'selector__k': 50}",0.2095728451563692,0.22965641952983723
LogisticRegression,6,0.7354064375340971,0.6012488849241748,0.6615950920245399,0.9052217347045953,0.9017286745535773,"{'clf__C': 1, 'selector__k': 50}",0.19406477513657208,0.29999999999999993
LogisticRegression,7,0.7424916573971079,0.5957161981258366,0.6610547165139886,0.9060289371509261,0.9018754281116216,"{'clf__C': 10, 'selector__k': 50}",0.19545659019343228,0.3875
LogisticRegression,8,0.7387732749178533,0.6019634091923248,0.6633882468650111,0.9025874022163752,0.9027871650913876,"{'clf__C': 0.1, 'selector__k': 50}",0.2661331300813008,0.5233333333333333
LogisticRegression,9,0.7492861222158766,0.5851917930419268,0.6571500125219133,0.9014389691230553,0.9032182119116802,"{'clf__C': 0.1, 'selector__k': 50}",0.17061750095954342,0.1929945732609768
